Phase,Number,Name,Program,Master,Active,Latitude,Longitude,Forecast,Budget,Capital/Operating,YTD Actuals,LTD Actuals,EAC (Current),Annual (Current),% Annual Variance,Project Id,Master Project Id
IMPLEMENT,1028653,AD PAVEMENT REHABILITATION,AD PAVEMENT REHABILITATION,Yes,Yes,47.536812,-122.303923,Yes,No,Capital Project,225680.74,5761916.57,14159768.14,1173502.965,0,5545,3445
PLANNING,1028654,AD STEAM PLANT ACCESS ROAD,,No,Yes,47.544447,-122.3191,Yes,No,Capital Project,0,373929.7,1569493.7,1195564,0,5557,3452
IMPLEMENT,1028662,AD NORTH BOEING FIELD MTCA,AD NORTH BOEING FIELD MTCA,Yes,Yes,47.536799,-122.30327,Yes,No,Capital Project,31211.5,1073568.18,1620026.594,514563.1148,0,5548,3447
IMPLEMENT,1119982,AD  AIRPORT REDEVELOPMENT,AD  AIRPORT REDEVELOPMENT,Yes,Yes,47.536801,-122.303925,Yes,No,Capital Project,1004975.53,8271548.87,9404782.926,783408.0012,0,5550,3449
IMPLEMENT,1120212,AD  NBF GTSP REMEDIAL ACTION,AD NORTH BOEING FIELD MTCA,No,Yes,47.536799,-122.30327,Yes,No,Capital Project,30961.55,697103.95,666142.4,,,5553,3447
PLANNING,1120730,AD   AIRPORT FACILITIES REPAIR,AD   AIRPORT FACILITIES REPAIR,Yes,Yes,,,Yes,No,Capital Project,564360.71,12220602.38,13936262.18,927818.0101,0,5485,3418
IMPLEMENT,1120731,AD  AIRPORT FLEET,AD  AIRPORT FLEET,Yes,Yes,47.653812,-122.303923,Yes,Supp/Omb.,Capital Project,397854.02,6408357.67,21382132.31,4160327.39,0,5551,3450
IMPLEMENT,1120732,AD   LOWER DUWAMISH WATERWAY,AD   LOWER DUWAMISH WATERWAY,Yes,Yes,47.536799,-122.30327,Yes,No,Capital Project,84216.69,329714.96,791621.2419,53870.61,-0.486946571,5552,3451
IMPLEMENT,1120862,AD WATER SYSTEM EQUIPMENT,AD   AIRPORT FACILITIES REPAIR,No,Yes,47.536799,-122.30327,Yes,No,Capital Project,17032.91,91102.01,76970.29,2901.19,,5546,3418
PLANNING,1124093,AD AIRPORT MASTER PLAN UPDATE,,No,Yes,,,Yes,No,Capital Project,68481.45,1437251.52,1416811.6,48041.53,,5562,3457
HOLD,1129947,AD EQUIPMENT SNOW SHED,,No,Yes,47.536801,-122.303925,Yes,No,Capital Project,55.5,1298349,16080559.49,,,5565,3460
